Grid,Range,Avg_Accuracy,Lowest Accuracy,Avg_Faster
15x15,1 - 5,81.691%,66.667%,2154.639%
15x15,1 - 10,82.715%,71.014%,1569.184%
15x15,1 - 20,96.917%,91.818%,803.844%
15x15,1 - 50,99.449%,96.653%,143.107%
15x15,1 - 100,100.0%,100%,106.138%
15x15,1 - 500,100.0%,100%,105.875%
15x15,1 - 1000,100.0%,100%,109.546%
15x20,1 - 5,76.42%,52.381%,2651.063%
15x20,1 - 10,85.369%,75.0%,2133.407%
15x20,1 - 20,98.051%,92.105%,729.39%
15x20,1 - 50,99.708%,98.387%,155.93%
15x20,1 - 100,99.96%,99.598%,124.292%
15x20,1 - 500,100.0%,100%,107.876%
15x20,1 - 1000,100.0%,100%,94.561%
15x25,1 - 5,77.224%,65.625%,2987.002%
15x25,1 - 10,83.478%,72.84%,2335.14%
15x25,1 - 20,95.916%,91.367%,967.064%
15x25,1 - 50,99.743%,98.485%,131.227%
15x25,1 - 100,99.897%,99.508%,118.808%
15x25,1 - 500,100.0%,100%,106.7%
15x25,1 - 1000,100.0%,100%,100.113%
20x15,1 - 5,72.086%,55.932%,2511.13%
20x15,1 - 10,85.387%,69.88%,1865.871%
20x15,1 - 20,95.536%,88.182%,595.814%
20x15,1 - 50,99.914%,99.142%,162.676%
20x15,1 - 100,99.917%,99.36%,120.811%
20x15,1 - 500,100.0%,100%,101.579%
20x15,1 - 1000,100.0%,100%,108.964%
20x20,1 - 5,79.026%,66.129%,4015.609%
20x20,1 - 10,83.288%,70.238%,2884.87%
20x20,1 - 20,97.361%,93.966%,993.286%
20x20,1 - 50,99.9%,99.003%,219.573%
20x20,1 - 100,99.927%,99.274%,102.557%
20x20,1 - 500,100.0%,100%,93.538%
20x20,1 - 1000,100.0%,100%,102.99%
20x25,1 - 5,75.742%,66.667%,4811.708%
20x25,1 - 10,82.25%,73.077%,3705.471%
20x25,1 - 20,95.323%,87.705%,1505.201%
20x25,1 - 50,99.746%,98.322%,150.118%
20x25,1 - 100,100.0%,100%,128.095%
20x25,1 - 500,100.0%,100%,102.875%
20x25,1 - 1000,100.0%,100%,106.108%
25x15,1 - 5,80.274%,72.581%,2686.597%
25x15,1 - 10,84.164%,77.528%,1953.883%
25x15,1 - 20,95.777%,87.218%,1038.066%
25x15,1 - 50,99.746%,98.387%,149.805%
25x15,1 - 100,99.9%,99.351%,102.573%
25x15,1 - 500,100.0%,100%,118.141%
25x15,1 - 1000,100.0%,100%,97.972%
25x20,1 - 5,75.537%,66.667%,4597.271%
25x20,1 - 10,84.825%,77.477%,3742.15%
25x20,1 - 20,96.447%,89.412%,1431.455%
25x20,1 - 50,99.819%,98.847%,133.477%
25x20,1 - 100,100.0%,100%,107.601%
25x20,1 - 500,100.0%,100%,98.848%
25x20,1 - 1000,100.0%,100%,110.478%
25x25,1 - 5,80.427%,71.622%,6979.837%
25x25,1 - 10,82.119%,67.89%,5371.242%
25x25,1 - 20,95.401%,91.824%,1752.961%
25x25,1 - 50,99.657%,98.623%,152.317%
25x25,1 - 100,99.897%,99.293%,119.046%
25x25,1 - 500,100.0%,100%,102.725%
25x25,1 - 1000,100.0%,100%,101.482%
